Station,Chan,Net,Lat,Long,Good,Fair,Bad,Unknown
ABVI,BHZ,PR,18.729610,-64.332540,0.0,0.0,0.0,100.0
AGPR,BHZ,PR,18.467493,-67.111184,45.05,54.5,0.0,0.0
AOPR,BHZ,PR,18.346645,-66.753975,100.0,0.0,0.0,0.0
AUA1,BHZ,PR,12.505575,-70.010575,99.839,0.0,0.0,0.161
CBYP,BHZ,PR,18.271674,-65.856634,0.0,0.0,0.0,100.0
CDVI,BHZ,PR,17.731667,-64.714722,0.0,0.0,0.0,100.0
CELP,BHZ,PR,18.074850,-66.579167,100.0,0.0,0.0,0.0
CRPR,BHZ,PR,18.006400,-67.109600,100.0,0.0,0.0,0.0
CUPR,BHZ,PR,18.307500,-65.282570,0.0,0.0,0.0,100.0
ECPR,BHZ,PR,18.318740,-66.362870,100.0,0.0,0.0,0.0
EMPR,BHZ,PR,18.477000,-66.529600,32.0,47.5,0.0,20.5
GBPR,EHZ,PR,17.975100,-66.879200,100.0,0.0,0.0,0.0
GCPR,BHZ,PR,18.309000,-66.083600,100.0,0.0,0.0,0.0
HUMP,BHZ,PR,18.142069,-65.848851,0.0,0.0,0.0,100.0
ICMP,BHZ,PR,17.886300,-66.526700,0.0,0.0,0.0,100.0
IDE,EHZ,PR,8.384447,-67.479150,100.0,0.0,0.0,0.0
IGPR,BHZ,PR,17.965365,-66.106822,0.0,0.0,0.0,100.0
IMPR,BHZ,PR,18.076972,-67.931123,0.0,0.0,0.0,100.0
LSP,EHZ,PR,8.175730,-67.085816,100.0,0.0,0.0,0.0
MLPR,BHZ,PR,17.969427,-67.044223,100.0,0.0,0.0,0.0
MTP,BHZ,PR,8.097200,-65.552500,0.0,0.0,0.0,100.0
OBIP,BHZ,PR,18.042798,-66.606233,100.0,0.0,0.0,0.0
PCDR,BHZ,PR,18.513900,-68.381400,100.0,0.0,0.0,0.0
PDPR,BHZ,PR,18.018098,-66.022210,0.0,0.0,100.0,0.0
PRSN,BHZ,PR,18.217091,-67.144813,100.0,0.0,0.0,0.0
SJVI,BHZ,PR,18.331536,-64.771816,0.0,0.0,0.0,100.0
STVI,BHZ,PR,18.353333,-64.962222,0.0,0.0,0.0,100.0
SMDR,BHZ,PR,19.289800,-69.188200,100.0,0.0,0.0,0.0
TBVI,EHZ,PR,18.415000,-64.618610,0.694,0.0,0.0,0.0
UUPR,BHZ,PR,18.252777,-66.720185,100.0,0.0,0.0,0.0
VGBI,BHZ,PR,18.490460,-64.402520,0.0,0.0,0.0,100.0
